folder,Filename,ID,Case,Status,Site,Grey_patch,x,y,R,G,B,h,s,v,l_lab,a_lab,b_lab
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1537,1210,10273.0,9417.0,15884.0,247.9418487548828,0.4071390628814697,0.24237430095672607,15.911865234375,8.734375,-15.625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1542,1257,10264.0,8385.0,16256.0,254.32345581054688,0.4841902256011963,0.24805065989494324,14.752197265625,12.078125,-18.484375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1517,1242,10151.0,8523.0,15138.0,254.7664337158203,0.43697959184646606,0.23099108040332794,14.599609375,10.140625,-15.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1531,1213,10283.0,9120.0,15819.0,250.41647338867188,0.4234778583049774,0.24138246476650238,15.570068359375,9.296875,-15.8125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1519,1249,9279.0,8121.0,14782.0,250.43084716796875,0.45061537623405457,0.22555886209011078,13.677978515625,9.515625,-15.984375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1559,1217,9623.0,8370.0,16282.0,249.50201416015625,0.48593512177467346,0.24844738841056824,14.501953125,11.265625,-18.90625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1522,1228,9994.0,9184.0,15545.0,247.64028930664062,0.4091988801956177,0.2372014969587326,15.41748046875,8.640625,-15.359375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1513,1216,9954.0,8711.0,15379.0,251.18475341796875,0.4335780441761017,0.23466849327087402,14.8681640625,9.390625,-15.859375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1515,1219,10471.0,9523.0,15974.0,248.81723022460938,0.40384355187416077,0.24374762177467346,16.119384765625,8.5625,-15.296875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1549,1226,9930.0,8880.0,16091.0,248.73663330078125,0.4481384754180908,0.24553291499614716,15.167236328125,9.828125,-17.140625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1519,1247,9770.0,9416.0,14407.0,244.2556610107422,0.34642863273620605,0.21983672678470612,15.39306640625,6.140625,-12.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1528,1253,9384.0,8160.0,15055.0,250.65118408203125,0.45798712968826294,0.22972457110881805,13.7939453125,10.015625,-16.515625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1534,1216,10471.0,8607.0,16772.0,253.69747924804688,0.48682308197021484,0.2559243142604828,15.24658203125,12.171875,-19.09375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1560,1257,9897.0,8798.0,16414.0,248.6580810546875,0.46399393677711487,0.2504615783691406,15.10009765625,10.671875,-18.3125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1527,1218,10463.0,9277.0,16165.0,250.33099365234375,0.4261055886745453,0.24666209518909454,15.863037109375,9.578125,-16.390625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1551,1245,10003.0,8263.0,15308.0,254.81900024414062,0.4602166414260864,0.23358510434627533,14.263916015625,10.84375,-16.453125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1542,1230,9898.0,8684.0,14825.0,251.8612518310547,0.4142324924468994,0.22621500492095947,14.569091796875,8.953125,-14.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1557,1249,9765.0,8866.0,15637.0,247.96632385253906,0.4330112040042877,0.2386053204536438,15.032958984375,9.1875,-16.3125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1531,1230,9525.0,8275.0,14236.0,252.58177185058594,0.41872695088386536,0.21722742915153503,13.818359375,8.859375,-14.359375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1556,1211,10731.0,9470.0,15892.0,251.7813720703125,0.40410247445106506,0.24249637126922607,16.229248046875,8.921875,-15.109375
